id,name,description,price,contains_alcohol
1,'Deluxe Bacon Cheeseburger',"'Fresh beef patties, two strips of crisp bacon, smoked American cheese, fresh romaine, tomatoes, Pittsburgh pickles, onion, mayo on a buttery bun.'",1499,'N'
2,'Corona',"'Corona Beer, imported from the fridge'",799,'Y'
3,'Classic Omelette','Classic Omelette',850,'N'
4,'Western Omelette','Western Omelette',100,'N'
5,'Mexican Omelette','Mexican Omelette',101,'N'
6,'French Omelette','French Omelette',100,'N'
7,'Italian Omelette','Italian Omelette',102,'N'
8,'Persian Omelette','Persian Omelette',100,'N'
9,'Spanish Omelette','Spanish Omelette',103,'N'
10,'French Toast','French Toast',100,'N'
11,'Texas Toast','Texas Toast',104,'N'
12,'Hard Boiled Eggs','Hard Boiled Eggs',100,'N'
13,'Soft Boiled Eggs','Soft Boiled Eggs',105,'N'
14,'Pancakes','Pancakes',100,'N'
15,'Waffles','Waffles',106,'N'
16,'Belgian Waffles','Belgian Waffles',100,'N'
17,'House Salad','House Salad',107,'N'
18,'Greek Salad','Greek Salad',100,'N'
19,'Italian Salad','Italian Salad',108,'N'
20,'Mexican Salad','Mexican Salad',100,'N'
