id,phone_number,address
1,'+18148654700',"'201 Old Main, University Park, PA 16802'"
2,'+16106483200',"'30 East Swedesford Rd, Malvern, PA 19355'"
3,'+18000000103',"'1603 Pennsylvania Avenue NW, Washington, DC 20500'"
4,'+18000000104',"'1604 Pennsylvania Avenue NW, Washington, DC 20500'"
5,'+18000000105',"'1605 Pennsylvania Avenue NW, Washington, DC 20500'"
6,'+18000000106',"'1606 Pennsylvania Avenue NW, Washington, DC 20500'"
7,'+18000000107',"'1607 Pennsylvania Avenue NW, Washington, DC 20500'"
8,'+18000000108',"'1608 Pennsylvania Avenue NW, Washington, DC 20500'"
9,'+18000000109',"'1609 Pennsylvania Avenue NW, Washington, DC 20500'"
10,'+18000000110',"'1610 Pennsylvania Avenue NW, Washington, DC 20500'"
11,'+18000000111',"'1611 Pennsylvania Avenue NW, Washington, DC 20500'"
12,'+18000000112',"'1612 Pennsylvania Avenue NW, Washington, DC 20500'"
13,'+18000000113',"'1613 Pennsylvania Avenue NW, Washington, DC 20500'"
14,'+18000000114',"'1614 Pennsylvania Avenue NW, Washington, DC 20500'"
15,'+18000000115',"'1615 Pennsylvania Avenue NW, Washington, DC 20500'"
16,'+18000000116',"'1616 Pennsylvania Avenue NW, Washington, DC 20500'"
17,'+18000000117',"'1617 Pennsylvania Avenue NW, Washington, DC 20500'"
18,'+18000000118',"'1618 Pennsylvania Avenue NW, Washington, DC 20500'"
19,'+18000000119',"'1619 Pennsylvania Avenue NW, Washington, DC 20500'"
20,'+18000000120',"'1620 Pennsylvania Avenue NW, Washington, DC 20500'"
